"SUBJECT","LOCATION","FREQUENCY","TIME","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"LOLITOAA","KOR","M","2021-03","IDX","0",,101.6167,
"LOLITOAA","KOR","M","2021-04","IDX","0",,101.7705,
"LOLITOAA","KOR","M","2021-05","IDX","0",,101.816,
"LOLITOAA","KOR","M","2021-06","IDX","0",,101.7399,
"LOLITOAA","KOR","M","2021-07","IDX","0",,101.5535,
"LOLITOAA","KOR","M","2021-08","IDX","0",,101.2789,
"LOLITOAA","KOR","M","2021-09","IDX","0",,100.9425,
"LOLITOAA","KOR","M","2021-10","IDX","0",,100.5934,
"LOLITOAA","KOR","M","2021-11","IDX","0",,100.2757,
"LOLITOAA","KOR","M","2021-12","IDX","0",,99.99874,
"LOLITOAA","KOR","M","2022-01","IDX","0",,99.75789,
"LOLITOAA","KOR","M","2022-02","IDX","0",,99.54153,
"LOLITOAA","KOR","M","2022-03","IDX","0",,99.34025,
"LOLITOAA","KOR","M","2022-04","IDX","0",,99.14754,
"LOLITOAA","USA","M","2000-01","IDX","0",,101.3953,
"LOLITOAA","USA","M","2000-02","IDX","0",,101.3298,
"LOLITOAA","USA","M","2000-03","IDX","0",,101.2315,
"LOLITOAA","USA","M","2000-04","IDX","0",,101.11,
"LOLITOAA","USA","M","2000-05","IDX","0",,100.96,
"LOLITOAA","USA","M","2000-06","IDX","0",,100.7906,
"LOLITOAA","USA","M","2000-07","IDX","0",,100.6028,
"LOLITOAA","USA","M","2000-08","IDX","0",,100.3819,
"LOLITOAA","USA","M","2000-09","IDX","0",,100.1248,
"LOLITOAA","USA","M","2000-10","IDX","0",,99.81455,
"LOLITOAA","USA","M","2000-11","IDX","0",,99.46094,
"LOLITOAA","USA","M","2000-12","IDX","0",,99.07918,
"LOLITOAA","USA","M","2001-01","IDX","0",,98.72934,
"LOLITOAA","USA","M","2001-02","IDX","0",,98.46049,
"LOLITOAA","USA","M","2001-03","IDX","0",,98.2868,
"LOLITOAA","USA","M","2001-04","IDX","0",,98.19991,
"LOLITOAA","USA","M","2001-05","IDX","0",,98.17339,
"LOLITOAA","USA","M","2001-06","IDX","0",,98.15052,
"LOLITOAA","USA","M","2001-07","IDX","0",,98.10569,
"LOLITOAA","USA","M","2001-08","IDX","0",,98.04189,
"LOLITOAA","USA","M","2001-09","IDX","0",,98.00101,
"LOLITOAA","USA","M","2001-10","IDX","0",,98.05522,
"LOLITOAA","USA","M","2001-11","IDX","0",,98.23116,
"LOLITOAA","USA","M","2001-12","IDX","0",,98.50665,
"LOLITOAA","USA","M","2002-01","IDX","0",,98.82489,
"LOLITOAA","USA","M","2002-02","IDX","0",,99.12585,
"LOLITOAA","USA","M","2002-03","IDX","0",,99.3518,
"LOLITOAA","USA","M","2002-04","IDX","0",,99.44518,
"LOLITOAA","USA","M","2002-05","IDX","0",,99.38594,
"LOLITOAA","USA","M","2002-06","IDX","0",,99.18291,
"LOLITOAA","USA","M","2002-07","IDX","0",,98.89056,
"LOLITOAA","USA","M","2002-08","IDX","0",,98.57841,
"LOLITOAA","USA","M","2002-09","IDX","0",,98.28885,
"LOLITOAA","USA","M","2002-10","IDX","0",,98.06087,
"LOLITOAA","USA","M","2002-11","IDX","0",,97.91023,
"LOLITOAA","USA","M","2002-12","IDX","0",,97.80914,
"LOLITOAA","USA","M","2003-01","IDX","0",,97.73553,
"LOLITOAA","USA","M","2003-02","IDX","0",,97.7009,
"LOLITOAA","USA","M","2003-03","IDX","0",,97.73885,
"LOLITOAA","USA","M","2003-04","IDX","0",,97.87727,
"LOLITOAA","USA","M","2003-05","IDX","0",,98.10921,
"LOLITOAA","USA","M","2003-06","IDX","0",,98.40655,
"LOLITOAA","USA","M","2003-07","IDX","0",,98.75435,
"LOLITOAA","USA","M","2003-08","IDX","0",,99.14119,
"LOLITOAA","USA","M","2003-09","IDX","0",,99.55515,
"LOLITOAA","USA","M","2003-10","IDX","0",,99.97459,
"LOLITOAA","USA","M","2003-11","IDX","0",,100.3655,
"LOLITOAA","USA","M","2003-12","IDX","0",,100.6934,
"LOLITOAA","USA","M","2004-01","IDX","0",,100.9404,
"LOLITOAA","USA","M","2004-02","IDX","0",,101.0881,
"LOLITOAA","USA","M","2004-03","IDX","0",,101.1563,
"LOLITOAA","USA","M","2004-04","IDX","0",,101.1581,
"LOLITOAA","USA","M","2004-05","IDX","0",,101.1142,
"LOLITOAA","USA","M","2004-06","IDX","0",,101.0344,
"LOLITOAA","USA","M","2004-07","IDX","0",,100.9249,
"LOLITOAA","USA","M","2004-08","IDX","0",,100.8025,
"LOLITOAA","USA","M","2004-09","IDX","0",,100.695,
"LOLITOAA","USA","M","2004-10","IDX","0",,100.6218,
"LOLITOAA","USA","M","2004-11","IDX","0",,100.5918,
"LOLITOAA","USA","M","2004-12","IDX","0",,100.5776,
"LOLITOAA","USA","M","2005-01","IDX","0",,100.5418,
"LOLITOAA","USA","M","2005-02","IDX","0",,100.4774,
"LOLITOAA","USA","M","2005-03","IDX","0",,100.396,
"LOLITOAA","USA","M","2005-04","IDX","0",,100.3347,
"LOLITOAA","USA","M","2005-05","IDX","0",,100.3201,
"LOLITOAA","USA","M","2005-06","IDX","0",,100.35,
"LOLITOAA","USA","M","2005-07","IDX","0",,100.3983,
"LOLITOAA","USA","M","2005-08","IDX","0",,100.4682,
"LOLITOAA","USA","M","2005-09","IDX","0",,100.575,
"LOLITOAA","USA","M","2005-10","IDX","0",,100.7315,
"LOLITOAA","USA","M","2005-11","IDX","0",,100.923,
"LOLITOAA","USA","M","2005-12","IDX","0",,101.108,
"LOLITOAA","USA","M","2006-01","IDX","0",,101.253,
"LOLITOAA","USA","M","2006-02","IDX","0",,101.3462,
"LOLITOAA","USA","M","2006-03","IDX","0",,101.3796,
"LOLITOAA","USA","M","2006-04","IDX","0",,101.3523,
"LOLITOAA","USA","M","2006-05","IDX","0",,101.2897,
"LOLITOAA","USA","M","2006-06","IDX","0",,101.2304,
"LOLITOAA","USA","M","2006-07","IDX","0",,101.1959,
"LOLITOAA","USA","M","2006-08","IDX","0",,101.2069,
"LOLITOAA","USA","M","2006-09","IDX","0",,101.2722,
"LOLITOAA","USA","M","2006-10","IDX","0",,101.3707,
"LOLITOAA","USA","M","2006-11","IDX","0",,101.4853,
"LOLITOAA","USA","M","2006-12","IDX","0",,101.6084,
"LOLITOAA","USA","M","2007-01","IDX","0",,101.7286,
"LOLITOAA","USA","M","2007-02","IDX","0",,101.8471,
"LOLITOAA","USA","M","2007-03","IDX","0",,101.9709,
"LOLITOAA","USA","M","2007-04","IDX","0",,102.0894,
"LOLITOAA","USA","M","2007-05","IDX","0",,102.1787,
"LOLITOAA","USA","M","2007-06","IDX","0",,102.2213,
"LOLITOAA","USA","M","2007-07","IDX","0",,102.2027,
"LOLITOAA","USA","M","2007-08","IDX","0",,102.1209,
"LOLITOAA","USA","M","2007-09","IDX","0",,102.0055,
"LOLITOAA","USA","M","2007-10","IDX","0",,101.8779,
"LOLITOAA","USA","M","2007-11","IDX","0",,101.7437,
"LOLITOAA","USA","M","2007-12","IDX","0",,101.6152,
"LOLITOAA","USA","M","2008-01","IDX","0",,101.4814,
"LOLITOAA","USA","M","2008-02","IDX","0",,101.3281,
"LOLITOAA","USA","M","2008-03","IDX","0",,101.1555,
"LOLITOAA","USA","M","2008-04","IDX","0",,100.9424,
"LOLITOAA","USA","M","2008-05","IDX","0",,100.6582,
"LOLITOAA","USA","M","2008-06","IDX","0",,100.2592,
"LOLITOAA","USA","M","2008-07","IDX","0",,99.71166,
"LOLITOAA","USA","M","2008-08","IDX","0",,99.00082,
"LOLITOAA","USA","M","2008-09","IDX","0",,98.14126,
"LOLITOAA","USA","M","2008-10","IDX","0",,97.19701,
"LOLITOAA","USA","M","2008-11","IDX","0",,96.29475,
"LOLITOAA","USA","M","2008-12","IDX","0",,95.53822,
"LOLITOAA","USA","M","2009-01","IDX","0",,94.99268,
"LOLITOAA","USA","M","2009-02","IDX","0",,94.69584,
"LOLITOAA","USA","M","2009-03","IDX","0",,94.66498,
"LOLITOAA","USA","M","2009-04","IDX","0",,94.88721,
"LOLITOAA","USA","M","2009-05","IDX","0",,95.28821,
"LOLITOAA","USA","M","2009-06","IDX","0",,95.79684,
"LOLITOAA","USA","M","2009-07","IDX","0",,96.35055,
"LOLITOAA","USA","M","2009-08","IDX","0",,96.90929,
"LOLITOAA","USA","M","2009-09","IDX","0",,97.44329,
"LOLITOAA","USA","M","2009-10","IDX","0",,97.9364,
"LOLITOAA","USA","M","2009-11","IDX","0",,98.38863,
"LOLITOAA","USA","M","2009-12","IDX","0",,98.80433,
"LOLITOAA","USA","M","2010-01","IDX","0",,99.16388,
"LOLITOAA","USA","M","2010-02","IDX","0",,99.43394,
"LOLITOAA","USA","M","2010-03","IDX","0",,99.6159,
"LOLITOAA","USA","M","2010-04","IDX","0",,99.69128,
"LOLITOAA","USA","M","2010-05","IDX","0",,99.67028,
"LOLITOAA","USA","M","2010-06","IDX","0",,99.59365,
"LOLITOAA","USA","M","2010-07","IDX","0",,99.52773,
"LOLITOAA","USA","M","2010-08","IDX","0",,99.52431,
"LOLITOAA","USA","M","2010-09","IDX","0",,99.59496,
"LOLITOAA","USA","M","2010-10","IDX","0",,99.72469,
"LOLITOAA","USA","M","2010-11","IDX","0",,99.906,
"LOLITOAA","USA","M","2010-12","IDX","0",,100.0986,
"LOLITOAA","USA","M","2011-01","IDX","0",,100.2598,
"LOLITOAA","USA","M","2011-02","IDX","0",,100.3531,
"LOLITOAA","USA","M","2011-03","IDX","0",,100.3421,
"LOLITOAA","USA","M","2011-04","IDX","0",,100.2256,
"LOLITOAA","USA","M","2011-05","IDX","0",,100.0176,
