"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2000년 12월","23.87","31.88","32.32","22.90","505.16K","-25.13%"
"2000년 11월","31.88","31.10","34.00","30.32","545.14K","3.64%"
"2000년 10월","30.76","30.20","35.30","29.42","564.92K","3.08%"
"2000년 9월","29.84","31.65","34.98","29.25","711.95K","-5.93%"
"2000년 8월","31.72","26.80","32.80","26.73","567.68K","17.79%"
"2000년 7월","26.93","30.65","31.25","26.65","658.69K","-11.91%"
"2000년 6월","30.57","28.40","31.70","27.58","660.73K","7.98%"
"2000년 5월","28.31","24.10","29.52","24.05","605.29K","18.50%"
"2000년 4월","23.89","25.00","25.22","21.30","520.32K","-3.55%"
"2000년 3월","24.77","28.00","31.95","24.25","672.62K","-11.82%"
"2000년 2월","28.09","26.10","28.78","25.73","616.54K","8.16%"
"2000년 1월","25.97","23.90","27.11","23.04","644.18K","3.55%"
