"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-12","Dec-2004","IDX","Index","0","Units",,,98.6636,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-01","Jan-2005","IDX","Index","0","Units",,,98.76029,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-02","Feb-2005","IDX","Index","0","Units",,,99.06799,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-03","Mar-2005","IDX","Index","0","Units",,,99.36508,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-04","Apr-2005","IDX","Index","0","Units",,,99.46254,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-05","May-2005","IDX","Index","0","Units",,,99.31973,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-06","Jun-2005","IDX","Index","0","Units",,,99.13457,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-07","Jul-2005","IDX","Index","0","Units",,,99.03604,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-08","Aug-2005","IDX","Index","0","Units",,,99.11902,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-09","Sep-2005","IDX","Index","0","Units",,,99.2802,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-10","Oct-2005","IDX","Index","0","Units",,,99.43535,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-11","Nov-2005","IDX","Index","0","Units",,,99.58334,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2005-12","Dec-2005","IDX","Index","0","Units",,,99.80116,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-01","Jan-2006","IDX","Index","0","Units",,,100.0208,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-02","Feb-2006","IDX","Index","0","Units",,,100.2245,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-03","Mar-2006","IDX","Index","0","Units",,,100.3749,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-04","Apr-2006","IDX","Index","0","Units",,,100.3619,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-05","May-2006","IDX","Index","0","Units",,,100.1147,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-06","Jun-2006","IDX","Index","0","Units",,,99.80262,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-07","Jul-2006","IDX","Index","0","Units",,,99.55691,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-08","Aug-2006","IDX","Index","0","Units",,,99.55738,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-09","Sep-2006","IDX","Index","0","Units",,,99.71523,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-10","Oct-2006","IDX","Index","0","Units",,,99.82265,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-11","Nov-2006","IDX","Index","0","Units",,,99.77036,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2006-12","Dec-2006","IDX","Index","0","Units",,,99.62783,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-01","Jan-2007","IDX","Index","0","Units",,,99.54551,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-02","Feb-2007","IDX","Index","0","Units",,,99.67203,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-03","Mar-2007","IDX","Index","0","Units",,,99.82372,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-04","Apr-2007","IDX","Index","0","Units",,,99.95863,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-05","May-2007","IDX","Index","0","Units",,,100.0248,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-06","Jun-2007","IDX","Index","0","Units",,,100.0131,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-07","Jul-2007","IDX","Index","0","Units",,,100.0037,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-08","Aug-2007","IDX","Index","0","Units",,,99.98991,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-09","Sep-2007","IDX","Index","0","Units",,,99.9627,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-10","Oct-2007","IDX","Index","0","Units",,,99.96217,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-11","Nov-2007","IDX","Index","0","Units",,,99.95449,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2007-12","Dec-2007","IDX","Index","0","Units",,,99.9076,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-01","Jan-2008","IDX","Index","0","Units",,,99.91142,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-02","Feb-2008","IDX","Index","0","Units",,,99.99957,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-03","Mar-2008","IDX","Index","0","Units",,,100.108,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-04","Apr-2008","IDX","Index","0","Units",,,100.1745,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-05","May-2008","IDX","Index","0","Units",,,100.1054,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-06","Jun-2008","IDX","Index","0","Units",,,99.97174,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-07","Jul-2008","IDX","Index","0","Units",,,99.81587,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-08","Aug-2008","IDX","Index","0","Units",,,99.55955,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-09","Sep-2008","IDX","Index","0","Units",,,99.08488,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-10","Oct-2008","IDX","Index","0","Units",,,98.26547,,
