일차,출발시간,소요시간,날짜
2,11,91,2016-02-08
3,11,82,2016-02-09
4,11,84,2016-02-10
0,12,89,2016-02-05
1,12,113,2016-02-06
2,12,104,2016-02-08
3,12,86,2016-02-09
4,12,84,2016-02-10
0,13,95,2016-02-05
1,13,123,2016-02-06
2,13,118,2016-02-08
3,13,92,2016-02-09
4,13,87,2016-02-10
0,14,102,2016-02-05
1,14,124,2016-02-06
2,14,133,2016-02-08
3,14,95,2016-02-09
4,14,88,2016-02-10
0,15,129,2016-02-05
1,15,123,2016-02-06
2,15,150,2016-02-08
3,15,94,2016-02-09
4,15,89,2016-02-10
0,16,118,2016-02-05
1,16,127,2016-02-06
2,16,142,2016-02-08
3,16,93,2016-02-09
4,16,89,2016-02-10
0,17,124,2016-02-05
1,17,127,2016-02-06
2,17,180,2016-02-08
3,17,93,2016-02-09
4,17,87,2016-02-10
0,18,133,2016-02-05
1,18,116,2016-02-06
2,18,192,2016-02-08
3,18,91,2016-02-09
4,18,86,2016-02-10
0,19,138,2016-02-05
1,19,127,2016-02-06
2,19,192,2016-02-08
3,19,86,2016-02-09
4,19,83,2016-02-10
0,20,134,2016-02-05
1,20,120,2016-02-06
2,20,187,2016-02-08
3,20,84,2016-02-09
4,20,84,2016-02-10
0,21,117,2016-02-05
1,21,114,2016-02-06
2,21,164,2016-02-08
3,21,87,2016-02-09
4,21,85,2016-02-10
0,22,110,2016-02-05
1,22,107,2016-02-06
2,22,141,2016-02-08
3,22,85,2016-02-09
4,22,83,2016-02-10
0,23,111,2016-02-05
1,23,102,2016-02-06
2,23,124,2016-02-08
3,23,81,2016-02-09
4,23,87,2016-02-10
0,0,85,2017-01-26
1,0,154,2017-01-27
2,0,79,2017-01-28
3,0,81,2017-01-29
4,0,84,2017-01-30
0,1,89,2017-01-26
1,1,149,2017-01-27
2,1,80,2017-01-28
3,1,80,2017-01-29
4,1,87,2017-01-30
0,2,91,2017-01-26
1,2,143,2017-01-27
2,2,77,2017-01-28
3,2,89,2017-01-29
4,2,89,2017-01-30
0,3,94,2017-01-26
1,3,162,2017-01-27
2,3,79,2017-01-28
3,3,87,2017-01-29
4,3,95,2017-01-30
0,4,93,2017-01-26
1,4,149,2017-01-27
2,4,79,2017-01-28
3,4,86,2017-01-29
4,4,92,2017-01-30
0,5,86,2017-01-26
1,5,165,2017-01-27
2,5,78,2017-01-28
3,5,83,2017-01-29
4,5,106,2017-01-30
0,6,91,2017-01-26
1,6,157,2017-01-27
2,6,84,2017-01-28
3,6,85,2017-01-29
4,6,95,2017-01-30
0,7,81,2017-01-26
1,7,170,2017-01-27
2,7,87,2017-01-28
3,7,80,2017-01-29
4,7,83,2017-01-30
0,8,83,2017-01-26
1,8,158,2017-01-27
2,8,92,2017-01-28
3,8,80,2017-01-29
4,8,84,2017-01-30
0,9,85,2017-01-26
1,9,144,2017-01-27
2,9,93,2017-01-28
3,9,80,2017-01-29
4,9,90,2017-01-30
0,10,92,2017-01-26
1,10,164,2017-01-27
2,10,90,2017-01-28
3,10,81,2017-01-29
4,10,82,2017-01-30
0,11,104,2017-01-26
1,11,152,2017-01-27
2,11,89,2017-01-28
3,11,83,2017-01-29
4,11,90,2017-01-30
0,12,102,2017-01-26
1,12,150,2017-01-27
2,12,100,2017-01-28
3,12,84,2017-01-29
4,12,83,2017-01-30
0,13,111,2017-01-26
1,13,144,2017-01-27
2,13,111,2017-01-28
3,13,86,2017-01-29
4,13,84,2017-01-30
0,14,124,2017-01-26
1,14,148,2017-01-27
2,14,123,2017-01-28
3,14,89,2017-01-29
4,14,93,2017-01-30
0,15,139,2017-01-26
1,15,139,2017-01-27
2,15,141,2017-01-28
3,15,93,2017-01-29
4,15,94,2017-01-30
0,16,139,2017-01-26
1,16,122,2017-01-27
2,16,150,2017-01-28
3,16,99,2017-01-29
4,16,93,2017-01-30
0,17,165,2017-01-26
1,17,129,2017-01-27
2,17,156,2017-01-28
3,17,100,2017-01-29
4,17,92,2017-01-30
0,18,183,2017-01-26
1,18,110,2017-01-27
2,18,160,2017-01-28
3,18,101,2017-01-29
4,18,90,2017-01-30
0,19,195,2017-01-26
1,19,113,2017-01-27
2,19,155,2017-01-28
3,19,99,2017-01-29
4,19,87,2017-01-30
0,20,185,2017-01-26
1,20,107,2017-01-27
2,20,144,2017-01-28
3,20,100,2017-01-29
4,20,84,2017-01-30
