"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2010년 8월","71.92","78.95","82.97","70.76","6.81M","-8.90%"
"2010년 7월","78.95","75.37","79.69","71.09","6.21M","4.39%"
"2010년 6월","75.63","73.97","79.38","69.51","7.26M","2.24%"
"2010년 5월","73.97","86.20","87.15","64.24","7.89M","-14.14%"
"2010년 4월","86.15","83.36","87.09","80.53","7.25M","2.85%"
"2010년 3월","83.76","79.84","83.85","78.06","6.52M","5.15%"
"2010년 2월","79.66","72.84","80.51","69.50","6.57M","9.29%"
"2010년 1월","72.89","79.63","83.95","72.43","5.38M","-8.15%"
"2009년 12월","79.36","77.35","80.00","68.59","5.66M","2.69%"
"2009년 11월","77.28","77.02","81.06","72.39","6.45M","0.36%"
"2009년 10월","77.00","70.40","82.00","68.05","6.92M","9.05%"
"2009년 9월","70.61","69.85","73.16","65.05","5.75M","0.93%"
"2009년 8월","69.96","69.30","75.00","65.23","5.72M","0.73%"
"2009년 7월","69.45","70.45","71.85","58.32","5.91M","-0.63%"
"2009년 6월","69.89","66.48","73.38","64.95","5.60M","5.40%"
"2009년 5월","66.31","50.95","66.64","50.43","5.04M","29.71%"
"2009년 4월","51.12","48.96","53.90","43.83","4.69M","2.94%"
"2009년 3월","49.66","44.34","54.66","39.44","5.17M","10.95%"
"2009년 2월","44.76","41.75","45.30","33.55","4.86M","7.39%"
"2009년 1월","41.68","43.72","50.47","32.70","5.13M","-6.55%"
"2008년 12월","44.60","54.62","54.62","32.40","4.47M","-18.06%"
"2008년 11월","54.43","67.37","71.77","48.25","4.52M","-19.73%"
"2008년 10월","67.81","101.86","102.84","61.30","5.69M","-32.62%"
"2008년 9월","100.64","116.65","130.00","90.51","5.66M","-12.84%"
"2008년 8월","115.46","124.06","128.60","111.34","5.46M","-6.95%"
"2008년 7월","124.08","140.18","147.27","120.42","5.83M","-11.37%"
"2008년 6월","140.00","127.63","143.67","121.61","6.23M","9.93%"
"2008년 5월","127.35","114.60","135.09","110.30","6.80M","12.24%"
"2008년 4월","113.46","101.57","119.93","99.55","5.63M","11.70%"
"2008년 3월","101.58","101.63","111.80","98.65","5.99M","-0.26%"
"2008년 2월","101.84","91.36","103.05","86.24","5.14M","11.00%"
"2008년 1월","91.75","96.05","100.09","86.11","5.46M","-4.41%"
"2007년 12월","95.98","88.79","97.92","85.82","4.25M","8.20%"
"2007년 11월","88.71","95.15","99.29","88.45","6.16M","-6.16%"
"2007년 10월","94.53","81.75","95.28","78.35","6.02M","15.76%"
"2007년 9월","81.66","73.90","83.90","73.48","4.78M","10.29%"
"2007년 8월","74.04","77.94","78.77","68.63","4.98M","-5.33%"
"2007년 7월","78.21","70.52","78.28","69.57","4.25M","10.65%"
"2007년 6월","70.68","64.23","71.06","63.80","4.42M","10.42%"
"2007년 5월","64.01","65.66","66.38","60.68","4.71M","-2.59%"
"2007년 4월","65.71","66.03","66.70","61.34","4.11M","-0.24%"
"2007년 3월","65.87","61.82","68.09","56.10","4.75M","6.60%"
"2007년 2월","61.79","57.89","62.25","56.62","4.78M","6.28%"
"2007년 1월","58.14","60.95","60.97","49.90","4.94M","-4.77%"
"2006년 12월","61.05","62.85","64.15","59.90","3.22M","-3.29%"
"2006년 11월","63.13","58.60","63.77","54.86","3.70M","7.49%"
"2006년 10월","58.73","62.80","63.32","56.55","3.33M","-6.64%"
"2006년 9월","62.91","70.29","70.66","59.52","2.40M","-10.46%"
