날짜,종가,오픈,고가,저가,변동 %
2016년 2월,20.55,21.32,30.9,18.38,1.73%
2016년 3월,13.95,19.84,20.17,13.06,-32.12%
2016년 4월,15.7,15.23,17.09,12.5,12.54%
2016년 5월,14.19,16.33,17.65,13.04,-9.62%
2016년 6월,15.63,14.45,26.72,12.72,10.15%
2016년 7월,11.87,15.59,17.04,11.4,-24.06%
2016년 8월,13.42,11.89,14.93,11.02,13.06%
2016년 9월,13.29,13.07,20.51,11.65,-0.97%
2016년 10월,17.06,13.75,17.95,12.21,28.37%
2016년 11월,13.33,16.54,23.01,12.16,-21.86%
2016년 12월,14.04,13.4,14.72,10.93,5.33%
2017년 1월,11.99,14.07,14.07,10.3,-14.60%
2017년 2월,12.92,11.79,12.96,9.97,7.76%
2017년 3월,12.37,12.31,15.11,10.6,-4.26%
2017년 4월,10.82,12.59,16.28,10.22,-12.53%
2017년 5월,10.41,10.92,16.3,9.56,-3.79%
2017년 6월,11.18,10.42,15.16,9.37,7.40%
2017년 7월,10.26,11.07,13.05,8.84,-8.23%
2017년 8월,10.59,10.19,17.28,9.52,3.22%
2017년 9월,9.51,10.33,14.06,9.36,-10.20%
2017년 10월,10.18,9.59,13.2,9.11,7.05%
2017년 11월,11.28,9.79,14.51,8.56,10.81%
2017년 12월,11.04,11.19,14.58,8.9,-2.13%
2018년 1월,13.54,10.95,15.42,8.92,22.64%
2018년 2월,19.85,13.05,50.3,12.5,46.60%
2018년 3월,19.97,19.96,26.22,13.31,0.60%
2018년 4월,15.93,21.07,25.72,14.57,-20.23%
2018년 5월,15.43,15.78,18.78,10.91,-3.14%
2018년 6월,16.09,14.92,19.61,11.22,4.28%
2018년 7월,12.83,17.7,18.08,11.44,-20.26%
2018년 8월,12.86,13.09,16.86,10.17,0.23%
2018년 9월,12.12,13.13,15.63,11.1,-5.75%
2018년 10월,21.23,11.99,28.84,11.34,75.17%
2018년 11월,18.07,20.96,23.81,16.09,-14.88%
2018년 12월,25.42,16.04,36.2,15.94,40.68%
2019년 1월,16.57,27.54,28.53,16.54,-34.82%
2019년 2월,14.78,16.63,17.89,13.44,-10.80%
