"날짜","종가","오픈","고가","저가","변동 %"
"2010년 4월","886.79","823.56","894.41","822.03","7.58%"
"2010년 3월","824.34","818.99","838.65","798.59","0.62%"
"2010년 2월","819.23","778.36","830.81","767.04","5.03%"
"2010년 1월","780.00","765.58","802.29","764.53","1.84%"
"2009년 12월","765.93","785.97","812.86","755.30","-2.49%"
"2009년 11월","785.50","710.04","796.41","705.33","10.64%"
"2009년 10월","709.95","688.16","720.71","680.65","3.08%"
"2009년 9월","688.72","663.36","699.56","662.29","3.76%"
"2009년 8월","663.75","669.55","678.79","656.53","-0.93%"
"2009년 7월","670.00","660.47","672.94","650.05","1.46%"
"2009년 6월","660.38","693.24","697.97","652.55","-4.62%"
"2009년 5월","692.38","670.26","695.46","662.64","3.31%"
"2009년 4월","670.20","693.02","703.87","644.49","-3.30%"
"2009년 3월","693.10","745.21","763.31","672.46","-7.11%"
"2009년 2월","746.14","726.68","794.34","674.34","2.85%"
"2009년 1월","725.44","630.56","726.26","609.49","15.29%"
"2008년 12월","629.23","640.99","646.03","587.21","-2.26%"
"2008년 11월","643.75","568.78","649.48","563.10","13.05%"
"2008년 10월","569.42","617.42","687.08","544.72","-7.83%"
"2008년 9월","617.79","565.85","637.52","530.39","9.12%"
"2008년 8월","566.17","585.88","589.31","526.72","-3.35%"
"2008년 7월","585.80","586.96","618.40","575.78","-0.24%"
"2008년 6월","587.22","569.99","592.60","557.07","2.98%"
"2008년 5월","570.23","560.05","593.03","549.01","2.26%"
"2008년 4월","557.62","581.38","597.90","554.67","-3.96%"
"2008년 3월","580.61","640.72","651.85","579.47","-9.36%"
"2008년 2월","640.56","622.43","644.08","601.94","2.86%"
"2008년 1월","622.77","571.19","632.00","569.58","9.00%"
"2007년 12월","571.35","535.49","572.95","530.41","6.74%"
"2007년 11월","535.26","549.13","576.33","527.19","-2.64%"
"2007년 10월","549.78","520.80","551.22","511.82","5.45%"
"2007년 9월","521.37","493.87","525.36","491.94","5.59%"
"2007년 8월","493.76","484.72","498.73","478.29","1.77%"
"2007년 7월","485.18","479.07","496.62","474.75","1.09%"
"2007년 6월","479.97","491.30","500.50","474.67","-2.30%"
"2007년 5월","491.25","498.79","508.93","484.18","-1.16%"
"2007년 4월","497.01","495.74","511.33","490.62","0.04%"
"2007년 3월","496.79","505.82","512.39","480.56","-1.86%"
"2007년 2월","506.18","500.58","522.88","495.65","1.03%"
"2007년 1월","501.02","482.08","504.25","462.92","3.86%"
"2006년 12월","482.39","488.98","489.76","467.11","-1.50%"
"2006년 11월","489.76","474.77","495.67","474.00","3.06%"
"2006년 10월","475.20","471.34","480.50","440.65","0.65%"
"2006년 9월","472.14","488.05","500.17","449.62","-3.53%"
"2006년 8월","489.44","496.79","512.85","473.77","-1.54%"
