DATE,TEDRATE
2013-10-01,0.19409090909090909091
2013-11-01,0.17210526315789473684
2013-12-01,0.17750000000000000000
2014-01-01,0.19666666666666666667
2014-02-01,0.18315789473684210526
2014-03-01,0.18000000000000000000
2014-04-01,0.19850000000000000000
2014-05-01,0.19400000000000000000
2014-06-01,0.19428571428571428571
2014-07-01,0.20590909090909090909
2014-08-01,0.20050000000000000000
2014-09-01,0.21190476190476190476
2014-10-01,0.21318181818181818182
2014-11-01,0.20944444444444444444
2014-12-01,0.21523809523809523810
2015-01-01,0.22600000000000000000
2015-02-01,0.24157894736842105263
2015-03-01,0.24045454545454545455
2015-04-01,0.25450000000000000000
2015-05-01,0.26368421052631578947
2015-06-01,0.26772727272727272727
2015-07-01,0.25863636363636363636
2015-08-01,0.24800000000000000000
2015-09-01,0.31000000000000000000
2015-10-01,0.30619047619047619048
2015-11-01,0.24421052631578947368
2015-12-01,0.30523809523809523810
2016-01-01,0.36368421052631578947
2016-02-01,0.31100000000000000000
2016-03-01,0.33714285714285714286
2016-04-01,0.40476190476190476190
2016-05-01,0.36850000000000000000
2016-06-01,0.38227272727272727273
2016-07-01,0.40050000000000000000
2016-08-01,0.51545454545454545455
2016-09-01,0.55904761904761904762
2016-10-01,0.55250000000000000000
2016-11-01,0.46150000000000000000
2016-12-01,0.47100000000000000000
2017-01-01,0.51350000000000000000
2017-02-01,0.52157894736842105263
2017-03-01,0.39782608695652173913
2017-04-01,0.36333333333333333333
2017-05-01,0.29285714285714285714
2017-06-01,0.28045454545454545455
2017-07-01,0.23950000000000000000
2017-08-01,0.29772727272727272727
2017-09-01,0.29400000000000000000
2017-10-01,0.28619047619047619048
2017-11-01,0.20333333333333333333
2017-12-01,0.28578947368421052632
2018-01-01,0.32000000000000000000
2018-02-01,0.30526315789473684211
2018-03-01,0.47666666666666666667
2018-04-01,0.59150000000000000000
2018-05-01,0.46952380952380952381
2018-06-01,0.43190476190476190476
2018-07-01,0.38238095238095238095
2018-08-01,0.29090909090909090909
2018-09-01,0.22473684210526315789
2018-10-01,0.21500000000000000000
2018-11-01,0.32300000000000000000
2018-12-01,0.42444444444444444444
2019-01-01,0.40000000000000000000
2019-02-01,0.29000000000000000000
2019-03-01,0.20333333333333333333
2019-04-01,0.20700000000000000000
2019-05-01,0.18047619047619047619
2019-06-01,0.22700000000000000000
2019-07-01,0.19500000000000000000
2019-08-01,0.21619047619047619048
2019-09-01,0.23050000000000000000
2019-10-01,0.33000000000000000000
2019-11-01,0.36210526315789473684
2019-12-01,0.37263157894736842105
2020-01-01,0.29809523809523809524
2020-02-01,0.16210526315789473684
2020-03-01,0.81545454545454545455
2020-04-01,0.96050000000000000000
2020-05-01,0.27526315789473684211
2020-06-01,0.15181818181818181818
2020-07-01,0.14090909090909090909
2020-08-01,0.14900000000000000000
2020-09-01,0.12857142857142857143
2020-10-01,0.12000000000000000000
2020-11-01,0.12789473684210526316
2020-12-01,0.14761904761904761905
2021-01-01,0.13842105263157894737
2021-02-01,0.14842105263157894737
2021-03-01,0.15782608695652173913
2021-04-01,0.16500000000000000000
2021-05-01,0.13631578947368421053
2021-06-01,0.09636363636363636364
2021-07-01,0.07809523809523809524
2021-08-01,0.06904761904761904762
2021-09-01,0.08190476190476190476
2021-10-01,0.07400000000000000000
2021-11-01,0.10700000000000000000
2021-12-01,0.14400000000000000000
2022-01-01,.
