일차,출발시간,소요시간,날짜,눈비
1,8,171,2015-02-18,FALSE
2,8,94,2015-02-19,FALSE
3,8,83,2015-02-21,FALSE
4,8,79,2015-02-22,FALSE
0,9,86,2015-02-17,FALSE
1,9,182,2015-02-18,FALSE
2,9,94,2015-02-19,FALSE
3,9,85,2015-02-21,FALSE
4,9,82,2015-02-22,FALSE
0,10,93,2015-02-17,FALSE
1,10,203,2015-02-18,FALSE
2,10,99,2015-02-19,FALSE
3,10,86,2015-02-21,FALSE
4,10,81,2015-02-22,FALSE
0,11,90,2015-02-17,FALSE
1,11,215,2015-02-18,FALSE
2,11,103,2015-02-19,FALSE
3,11,84,2015-02-21,FALSE
4,11,81,2015-02-22,FALSE
0,12,112,2015-02-17,FALSE
1,12,242,2015-02-18,FALSE
2,12,113,2015-02-19,FALSE
3,12,88,2015-02-21,TRUE
4,12,84,2015-02-22,FALSE
0,13,113,2015-02-17,FALSE
1,13,251,2015-02-18,FALSE
2,13,128,2015-02-19,FALSE
3,13,92,2015-02-21,FALSE
4,13,83,2015-02-22,FALSE
0,14,126,2015-02-17,FALSE
1,14,243,2015-02-18,FALSE
2,14,143,2015-02-19,FALSE
3,14,88,2015-02-21,FALSE
4,14,85,2015-02-22,FALSE
0,15,139,2015-02-17,FALSE
1,15,203,2015-02-18,FALSE
2,15,158,2015-02-19,FALSE
3,15,94,2015-02-21,TRUE
4,15,86,2015-02-22,FALSE
0,16,151,2015-02-17,FALSE
1,16,196,2015-02-18,FALSE
2,16,147,2015-02-19,FALSE
3,16,94,2015-02-21,FALSE
4,16,86,2015-02-22,FALSE
0,17,167,2015-02-17,FALSE
1,17,182,2015-02-18,FALSE
2,17,183,2015-02-19,FALSE
3,17,93,2015-02-21,FALSE
4,17,87,2015-02-22,FALSE
0,18,176,2015-02-17,FALSE
1,18,171,2015-02-18,FALSE
2,18,200,2015-02-19,FALSE
3,18,87,2015-02-21,TRUE
4,18,86,2015-02-22,FALSE
0,19,187,2015-02-17,FALSE
1,19,160,2015-02-18,FALSE
2,19,184,2015-02-19,FALSE
3,19,92,2015-02-21,FALSE
4,19,87,2015-02-22,FALSE
0,20,227,2015-02-17,FALSE
1,20,144,2015-02-18,FALSE
2,20,206,2015-02-19,FALSE
3,20,90,2015-02-21,FALSE
4,20,87,2015-02-22,FALSE
0,21,243,2015-02-17,FALSE
1,21,126,2015-02-18,FALSE
2,21,192,2015-02-19,FALSE
3,21,90,2015-02-21,TRUE
4,21,86,2015-02-22,FALSE
0,22,249,2015-02-17,FALSE
1,22,113,2015-02-18,FALSE
2,22,165,2015-02-19,FALSE
3,22,88,2015-02-21,FALSE
4,22,85,2015-02-22,FALSE
0,23,246,2015-02-17,FALSE
1,23,104,2015-02-18,FALSE
2,23,141,2015-02-19,FALSE
3,23,88,2015-02-21,FALSE
4,23,79,2015-02-22,FALSE
0,0,89,2016-02-05,FALSE
1,0,84,2016-02-06,FALSE
2,0,82,2016-02-08,FALSE
3,0,81,2016-02-09,FALSE
4,0,93,2016-02-10,FALSE
0,1,86,2016-02-05,FALSE
1,1,84,2016-02-06,FALSE
2,1,78,2016-02-08,FALSE
3,1,85,2016-02-09,FALSE
