년도,분기,행정동,운영평균,폐업평균,서울운영평균,서울시폐업평균
2019,4,자양1동,108,52,110,54
2019,4,광장동,97,53,110,54
2019,4,능동,105,53,110,54
2019,4,중곡4동,108,53,110,54
2019,4,중곡3동,103,50,110,54
2019,4,중곡2동,103,50,110,54
2019,4,중곡1동,110,52,110,54
2019,4,군자동,107,52,110,54
2019,4,화양동,91,50,110,54
2019,4,용답동,133,58,110,54
2019,4,송정동,126,55,110,54
2019,4,성수2가3동,96,56,110,54
2019,4,성수2가1동,107,53,110,54
2019,4,성수1가2동,87,54,110,54
2019,4,성수1가1동,104,55,110,54
2019,4,옥수동,97,52,110,54
2019,4,금호4가동,113,58,110,54
2019,4,금호2.3가동,110,60,110,54
2019,4,금호1가동,112,55,110,54
2019,4,응봉동,108,55,110,54
2019,4,행당2동,87,52,110,54
2019,4,행당1동,98,54,110,54
2019,4,사근동,89,55,110,54
2019,4,마장동,127,73,110,54
2019,4,왕십리도선동,88,54,110,54
2019,4,왕십리2동,107,55,110,54
2019,4,보광동,114,55,110,54
2019,4,서빙고동,128,63,110,54
2019,4,한남동,99,54,110,54
2019,4,이태원2동,88,49,110,54
2019,4,이태원1동,125,62,110,54
2019,4,이촌2동,137,75,110,54
2019,4,이촌1동,143,66,110,54
2019,4,한강로동,130,57,110,54
2019,4,용문동,117,54,110,54
2019,4,효창동,124,64,110,54
2019,4,원효로2동,132,55,110,54
2019,4,원효로1동,122,56,110,54
2019,4,청파동,117,54,110,54
2019,4,남영동,118,59,110,54
2019,4,용산2가동,85,52,110,54
2019,4,후암동,105,62,110,54
2019,4,중림동,119,62,110,54
2019,4,황학동,133,69,110,54
2019,4,동화동,111,54,110,54
2019,4,신당5동,113,56,110,54
2019,4,청구동,104,54,110,54
2019,4,약수동,112,58,110,54
2019,4,다산동,109,57,110,54
2019,4,신당동,111,65,110,54
2019,4,을지로동,162,72,110,54
2019,4,광희동,144,58,110,54
2019,4,장충동,133,62,110,54
2019,4,필동,132,59,110,54
2019,4,명동,141,57,110,54
2019,4,회현동,153,69,110,54
2019,4,소공동,147,69,110,54
2019,4,숭인2동,121,49,110,54
2019,4,숭인1동,126,60,110,54
2019,4,창신3동,105,57,110,54
2019,4,창신2동,135,64,110,54
2019,4,창신1동,124,65,110,54
2019,4,혜화동,107,54,110,54
2019,4,이화동,99,56,110,54
2019,4,종로5.6가동,136,66,110,54
2019,4,종로1.2.3.4가동,141,67,110,54
2019,4,가회동,105,60,110,54
2019,4,교남동,137,64,110,54
2019,4,무악동,116,69,110,54
2019,4,평창동,114,59,110,54
2019,4,부암동,102,58,110,54
2019,4,삼청동,93,55,110,54
2019,4,사직동,123,60,110,54
2019,4,청운효자동,102,59,110,54
