"년도" "자치구명" "동" "사업체수" "총종사자수" "총여성종사자수" "농업.임업.및.어업" "농업.임업.및.어업(여성)" "광업" "광업(여성)" "제조업" "제조업(여성)" "전기.가스.증기.및.공기조절.공급업" "전기.가스.증기.및.공기조절.공급업(여성)" "수도.하수.및.폐기물.처리.원료.재생업" "수도.하수.및.폐기물.처리.원료.재생업(여성)" "건설업" "건설업(여성)" "도매.및.소매업" "도매.및.소매업(여성)" "운수.및.창고업" "운수.및.창고업(여성)" "숙박.및.음식점업" "숙박.및.음식점업(여성)" "정보통신업" "정보통신업(여성)" "금융.및.보험업" "금융.및.보험업(여성)" "부동산업" "부동산업(여성)" "전문.과학.및.기술.서비스업" "전문.과학.및.기술.서비스업(여성)" "사업시설.관리.사업.지원.및.임대.서비스업" "사업시설.관리.사업.지원.및.임대.서비스업(여성)" "공공행정.국방.및.사회보장.행정" "공공행정.국방.및.사회보장.행정(여성)" "교육.서비스업" "교육.서비스업(여성)" "보건업.및.사회복지.서비스업" "보건업.및.사회복지.서비스업(여성)" "예술.스포츠.및.여가관련.서비스업" "예술.스포츠.및.여가관련.서비스업(여성)" "협회.및.단체.수리.및.기타.개인.서비스업" "협회.및.단체.수리.및.기타.개인.서비스업(여성)"
"33" "2015" "강동구" "성내3동" 2422 10320 4871 16 4 0 0 629 288 0 0 46 3 637 107 2620 1063 365 15 1513 916 211 105 158 84 313 110 380 148 1146 597 17 10 664 406 694 559 228 99 683 357
"34" "2015" "강동구" "암사1동" 1892 5313 2444 0 0 0 0 474 238 0 0 0 0 605 75 1107 551 636 34 645 416 10 0 102 48 145 63 99 24 108 35 30 21 285 211 496 403 135 68 436 257
"35" "2015" "강동구" "암사2동" 819 4360 2345 0 0 0 0 163 101 0 0 0 0 513 102 829 392 498 13 388 256 8 2 41 19 137 48 96 18 740 714 67 29 366 290 259 224 106 41 149 96
"36" "2015" "강동구" "암사3동" 596 1998 1024 0 0 0 0 74 39 106 12 0 0 32 8 386 176 230 10 116 70 7 3 13 8 82 40 17 4 1 0 72 17 495 377 193 166 39 19 135 75
"37" "2015" "강동구" "천호1동" 1504 5431 2834 0 0 0 0 434 201 0 0 0 0 306 52 933 523 650 58 563 344 124 52 148 85 257 102 52 22 384 252 23 14 668 499 493 422 116 64 280 144
"38" "2015" "강동구" "천호2동" 3685 14534 7562 0 0 0 0 733 320 0 0 10 0 418 61 4518 2484 505 45 2367 1369 268 87 534 366 436 140 304 98 1432 592 72 6 580 417 1127 880 407 204 823 493
"39" "2015" "강동구" "천호3동" 1816 7550 3402 0 0 0 0 198 115 0 0 18 3 274 40 1281 586 427 22 875 543 142 48 465 340 351 113 135 74 1811 549 57 13 215 137 529 433 114 46 658 340
"40" "2015" "강북구" "미아동" 1655 6249 3543 0 0 0 0 583 310 77 20 0 0 126 25 919 466 251 16 862 538 38 10 486 421 170 64 72 41 194 84 172 57 888 464 764 622 92 45 555 360
"41" "2015" "강북구" "번1동" 1733 9093 5040 0 0 0 0 357 166 0 0 70 6 467 35 1198 574 363 26 1091 672 31 13 2231 1715 251 102 203 71 575 369 393 60 390 270 690 549 313 181 470 231
"42" "2015" "강북구" "번2동" 650 3203 1184 0 0 0 0 371 200 129 17 0 0 77 10 323 107 708 37 126 73 41 27 6 3 103 52 29 7 168 18 244 42 127 93 521 415 103 41 127 42
